"510118","0134","792","DNZBNSTK","MASTER  ","C"
"510119","0134","792","YIVKK   ","MASTER  ","C"
"510138","0032","792","YIVKK   ","MASTER  ","C"
"510139","0032","792","YIVKK   ","MASTER  ","C"
"510151","0099","792","YIVKK   ","MASTER  ","C"
"510152","0064","792","YIVKK   ","MASTER  ","C"
"510164","0056","792","YIVKK   ","MASTER  ","C"
"510221","0032","792","TEBONUS ","MASTER  ","C"
"512446","0900","792","YIVKK   ","MASTER  ","C"
"512754","0046","792","YIVKK   ","MASTER  ","C"
"512803","0032","792","TEBONUS ","MASTER  ","C"
"514025","0109","792","YIVKK   ","MASTER  ","C"
"514924","0134","792","YIVKK   ","MASTER  ","C"
"515849","0208","792","YIVKK   ","MASTER  ","C"
"515865","0134","792","YIVKK   ","MASTER  ","C"
"518599","0096","792","YIVKK   ","MASTER  ","C"
"518679","0103","792","YIVKK   ","MASTER  ","C"
"519399","0123","792","YIVKK   ","MASTER  ","C"
"520017","0015","792","YIVKK   ","MASTER  ","C"
"520019","0134","792","DNZBONUS","MASTER  ","C"
"520303","0134","792","DNZBONUS","MASTER  ","C"
"520909","0134","792","YIVKK   ","MASTER  ","C"
"520922","0062","792","BONUS   ","MASTER  ","C"
"520932","0046","792","YIVKK   ","MASTER  ","C"
"520940","0062","792","SM      ","MASTER  ","C"
"520988","0062","792","SM      ","MASTER  ","C"
"521022","0111","792","YIVKK   ","MASTER  ","C"
"521045","0123","792","YIVKK   ","MASTER  ","C"
"521376","0092","792","YIVKK   ","MASTER  ","C"
"521394","0059","792","SBBONUS ","MASTER  ","C"
"521807","0046","792","YIVKK   ","MASTER  ","C"
"521824","0062","792","SMCLUB  ","MASTER  ","C"
"521825","0062","792","SMCLUB  ","MASTER  ","C"
"521827","0059","792","YIVKK   ","MASTER  ","C"
"521832","0062","792","SM      ","MASTER  ","C"
"521836","0111","792","YIVKK   ","MASTER  ","C"
"522054","0123","792","YIVKK   ","MASTER  ","C"
"522240","0135","792","YIVKK   ","MASTER  ","C"
"522241","0135","792","YIVKK   ","MASTER  ","C"
"524347","0046","792","YIVKK   ","MASTER  ","C"
"524384","0208","792","YIVKK   ","MASTER  ","C"
"524839","0032","792","TEBONUS ","MASTER  ","C"
"524840","0032","792","TEBONUS ","MASTER  ","C"
"525404","0059","792","YIVKK   ","MASTER  ","C"
"525413","0123","792","YIVKK   ","MASTER  ","C"
"525795","0123","792","YIVKK   ","MASTER  ","C"
"527234","0203","792","YIVKK   ","MASTER  ","C"
"527585","0208","792","YIVKK   ","MASTER  ","C"
"528920","0032","792","TEBONUS ","MASTER  ","C"
"528939","0062","792","SM      ","MASTER  ","C"
"529462","0208","792","SANAL   ","MASTER  ","C"
"529939","0096","792","YIVKK   ","MASTER  ","C"
"530853","0032","792","YIVKK   ","MASTER  ","C"
"530866","0059","792","SBBONUS ","MASTER  ","C"
"531334","0208","792","YIVKK   ","MASTER  ","C"
"534264","0203","792","YIVKK   ","MASTER  ","C"
"534913","0103","792","YIVKK   ","MASTER  ","C"
"539703","0059","792","YIVKK   ","MASTER  ","C"
"540024","0099","792","YIVKK   ","MASTER  ","C"
"540025","0099","792","YIVKK   ","MASTER  ","C"
"540036","0062","792","GBKK    ","MASTER  ","C"
"540037","0062","792","BNSTK   ","MASTER  ","C"
"540045","0015","792","YIVKK   ","MASTER  ","C"
"540046","0015","792","YIVKK   ","MASTER  ","C"
"540061","0067","792","YIVKK   ","MASTER  ","C"
"540062","0067","792","YIVKK   ","MASTER  ","C"
"540063","0067","792","YIVKK   ","MASTER  ","C"
"540122","0067","792","YIVKK   ","MASTER  ","C"
"540129","0067","792","YIVKK   ","MASTER  ","C"
"540130","0010","792","YIVKK   ","MASTER  ","C"
"540134","0010","792","YIVKK   ","MASTER  ","C"
"540226","0062","792","GBKK    ","MASTER  ","C"
"540227","0062","792","GBKK    ","MASTER  ","C"
"540284","0056","792","YIVKK   ","MASTER  ","C"
"540435","0012","792","YIVKK   ","MASTER  ","C"
"540667","0064","792","YIVKK   ","MASTER  ","C"
"540668","0064","792","YIVKK   ","MASTER  ","C"
"540669","0062","792","BONUS   ","MASTER  ","C"
"540709","0062","792","BONUS   ","MASTER  ","C"
"541001","0010","792","YIVKK   ","MASTER  ","C"
"541033","0010","792","YIVKK   ","MASTER  ","C"
"541858","0062","792","GBKK    ","MASTER  ","C"
"542029","0099","792","YIVKK   ","MASTER  ","C"
"542030","0062","792","GBKK    ","MASTER  ","C"
"542117","0067","792","YIVKK   ","MASTER  ","C"
"542119","0015","792","YIVKK   ","MASTER  ","C"
"542254","0123","792","YIVKK   ","MASTER  ","C"
"542374","0010","792","YIVKK   ","MASTER  ","C"
"542605","0099","792","YIVKK   ","MASTER  ","C"
"542798","0015","792","YIVKK   ","MASTER  ","C"
"542804","0015","792","YIVKK   ","MASTER  ","C"
"543039","0056","792","YIVKK   ","MASTER  ","C"
"543081","0012","792","YIVKK   ","MASTER  ","C"
"543358","0134","792","YIVKK   ","MASTER  ","C"
"543400","0134","792","YIVKK   ","MASTER  ","C"
"543427","0134","792","YIVKK   ","MASTER  ","C"
"543624","0103","792","YIVKK   ","MASTER  ","C"
"543771","0064","792","YIVKK   ","MASTER  ","C"
"543943","0125","792","YIVKK   ","MASTER  ","C"
"543944","0125","792","YIVKK   ","MASTER  ","C"
"544078","0062","792","BONUS   ","MASTER  ","C"
"544127","0092","792","YIMKK   ","MASTER  ","C"
"544294","0062","792","GBKK    ","MASTER  ","C"
"544445","0092","792","YIVKK   ","MASTER  ","C"
"544460","0092","792","YIVKK   ","MASTER  ","C"
"545102","0062","792","GBKK    ","MASTER  ","C"
"545103","0067","792","YIVKK   ","MASTER  ","C"
"545120","0111","792","YIVKK   ","MASTER  ","C"
"545124","0032","792","YIVKK   ","MASTER  ","C"
"545148","0071","792","YIVKK   ","MASTER  ","C"
"545183","0123","792","YIVKK   ","MASTER  ","C"
"545616","0111","792","YIVKK   ","MASTER  ","C"
"545769","0109","792","YIVKK   ","MASTER  ","C"
"545770","0109","792","YIVKK   ","MASTER  ","C"
"545847","0111","792","YIVKK   ","MASTER  ","C"
"547244","0015","792","YIVKK   ","MASTER  ","C"
"547287","0010","792","YIVKK   ","MASTER  ","C"
"547311","0059","792","SBBONUS ","MASTER  ","C"
"547680","0125","792","YIVKK   ","MASTER  ","C"
"547800","0111","792","YIVKK   ","MASTER  ","C"
"548232","0203","792","YIVKK   ","MASTER  ","C"
"548375","0108","792","YIVKK   ","MASTER  ","C"
"548819","0099","792","YIVKK   ","MASTER  ","C"
"549208","0059","792","SBBONUS ","MASTER  ","C"
"549220","0092","792","YIMKK   ","MASTER  ","C"
"549998","0071","792","YIVKK   ","MASTER  ","C"
"550449","0071","792","YIVKK   ","MASTER  ","C"
"550472","0123","792","YIVKK   ","MASTER  ","C"
"550473","0123","792","YIVKK   ","MASTER  ","C"
"552095","0062","792","GBKK    ","MASTER  ","C"
"552096","0064","792","YIVKK   ","MASTER  ","C"
"552098","0096","792","YIVKK   ","MASTER  ","C"
"552101","0015","792","YIVKK   ","MASTER  ","C"
"552143","0123","792","YIVKK   ","MASTER  ","C"
"552207","0071","792","YIVKK   ","MASTER  ","C"
"552529","0208","792","YIVKK   ","MASTER  ","C"
"552608","0046","792","YIVKK   ","MASTER  ","C"
"552609","0046","792","YIVKK   ","MASTER  ","C"
"552645","0067","792","YIVKK   ","MASTER  ","C"
"552659","0067","792","YIVKK   ","MASTER  ","C"
"552879","0012","792","YIVKK   ","MASTER  ","C"
"553056","0046","792","YIVKK   ","MASTER  ","C"
"553090","0032","792","TEBNSTK ","MASTER  ","C"
"553130","0062","792","BNSTK   ","MASTER  ","C"
